id,name,short_name,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,position,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,Arsenal,ARS,0,0,0,0,0,0,0,0,2,1320,1325,1350,1350,1290,1300
2,Aston Villa,AVL,0,0,0,0,0,0,0,0,18,1125,1250,1110,1200,1140,1300
3,Burnley,BUR,0,0,0,0,0,0,0,0,16,1050,1050,1050,1050,1050,1050
4,Bournemouth,BOU,0,0,0,0,0,0,0,0,4,1150,1180,1100,1160,1200,1200
5,Brentford,BRE,0,0,0,0,0,0,0,0,17,1120,1185,1080,1080,1160,1290
6,Brighton,BHA,0,0,0,0,0,0,0,0,14,1150,1175,1090,1140,1210,1210
7,Chelsea,CHE,0,0,0,0,0,0,0,0,6,1185,1245,1150,1190,1220,1300
8,Crystal Palace,CRY,0,0,0,0,0,0,0,0,5,1140,1160,1120,1130,1160,1190
9,Everton,EVE,0,0,0,0,0,0,0,0,10,1100,1115,1140,1140,1060,1090
10,Fulham,FUL,0,0,0,0,0,0,0,0,8,1125,1125,1130,1130,1120,1120
11,Leeds,LEE,0,0,0,0,0,0,0,0,12,1050,1075,1050,1050,1050,1100
12,Liverpool,LIV,0,0,0,0,0,0,0,0,1,1335,1355,1290,1330,1380,1380
13,Man City,MCI,0,0,0,0,0,0,0,0,9,1275,1315,1250,1250,1300,1380
14,Man Utd,MUN,0,0,0,0,0,0,0,0,11,1105,1125,1110,1110,1100,1140
15,Newcastle,NEW,0,0,0,0,0,0,0,0,13,1185,1245,1130,1170,1240,1320
16,Nott'm Forest,NFO,0,0,0,0,0,0,0,0,15,1165,1205,1150,1230,1180,1180
17,Sunderland,SUN,0,0,0,0,0,0,0,0,7,1050,1050,1050,1050,1050,1050
18,Spurs,TOT,0,0,0,0,0,0,0,0,3,1130,1175,1100,1100,1160,1250
19,West Ham,WHU,0,0,0,0,0,0,0,0,19,1100,1100,1100,1100,1100,1100
20,Wolves,WOL,0,0,0,0,0,0,0,0,20,1100,1125,1080,1100,1120,1150
